# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACO2	CIB10637_003442	CIB10637_003442-T1	protein_coding	0	7	1	35	2	0	4	0	0	0	0	17	0	0	2	1	0	0	0	0	0	0	0	0	7	10
ACP2	CIB10637_003423	CIB10637_003423-T1	protein_coding	0	2	0	47	4	1	1	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	1	11
ACR2	CIB10637_001561	CIB10637_001561-T1	protein_coding	0	2	1	50	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	2	32
ACS2	CIB10637_001200	CIB10637_001200-T1	protein_coding	0	0	2	33	3	0	5	0	0	0	0	9	0	0	4	2	0	0	0	0	0	0	0	0	0	12
ACS2	CIB10637_001200	CIB10637_001200-T2	protein_coding	0	0	2	33	3	0	1	0	0	0	0	9	0	0	3	2	0	0	0	0	0	0	0	0	0	17
ACT1	CIB10637_000124	CIB10637_000124-T1	protein_coding	0	2	0	93	2	0	6	0	0	0	0	24	0	0	9	0	0	0	0	0	0	0	0	0	2	52
ADA2	CIB10637_006869	CIB10637_006869-T1	protein_coding	0	2	0	39	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	18
ADE1	CIB10637_002208	CIB10637_002208-T1	protein_coding	0	1	3	48	6	0	0	0	0	0	0	22	0	0	3	3	0	0	0	0	0	0	0	0	1	17
ADE12	CIB10637_002863	CIB10637_002863-T1	protein_coding	0	3	1	22	0	1	3	0	0	0	0	11	0	0	1	1	0	0	0	0	0	0	0	0	2	7
ADE12	CIB10637_002863	CIB10637_002863-T2	protein_coding	0	4	1	22	0	2	4	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	2	7
ADE13	CIB10637_003595	CIB10637_003595-T1	protein_coding	0	3	0	20	0	1	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	2	11
ADE17	CIB10637_008516	CIB10637_008516-T1	protein_coding	0	3	1	51	4	0	1	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	3	25
ADE3	CIB10637_006670	CIB10637_006670-T1	protein_coding	0	2	4	36	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	2	26
ADE4	CIB10637_007776	CIB10637_007776-T1	protein_coding	0	0	0	30	4	0	1	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	11
ADE6	CIB10637_005628	CIB10637_005628-T1	protein_coding	0	1	7	32	0	0	0	0	0	0	0	17	0	0	0	7	0	0	0	0	0	0	0	0	1	15
ADH1	CIB10637_006022	CIB10637_006022-T1	protein_coding	0	0	0	71	0	0	0	0	0	0	0	29	0	0	4	0	0	0	0	0	0	0	0	0	0	38
ADI1_1	CIB10637_000169	CIB10637_000169-T1	protein_coding	0	0	0	29	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ADI1_2	CIB10637_000185	CIB10637_000185-T1	protein_coding	0	1	1	35	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	1	18
ADI1_3	CIB10637_005716	CIB10637_005716-T1	protein_coding	0	2	3	46	0	0	0	0	0	1	0	13	0	0	0	2	0	0	0	0	0	0	0	0	2	33
ADK1	CIB10637_000297	CIB10637_000297-T1	protein_coding	0	1	1	35	0	0	0	0	0	0	0	23	0	0	1	1	0	0	0	0	0	0	0	0	1	11
ADK2	CIB10637_004122	CIB10637_004122-T1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ADO1	CIB10637_006045	CIB10637_006045-T1	protein_coding	1	3	0	67	4	0	3	0	0	0	0	29	1	0	2	0	0	0	0	0	0	0	0	0	3	29
ADO1	CIB10637_006045	CIB10637_006045-T2	protein_coding	0	3	0	68	0	0	1	0	0	0	0	34	0	0	4	0	0	0	0	0	0	0	0	0	3	29
ADP1	CIB10637_006952	CIB10637_006952-T1	protein_coding	0	5	0	82	4	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	5	25
AFG1	CIB10637_007371	CIB10637_007371-T1	protein_coding	0	2	3	65	1	0	5	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	2	45
AFG2	CIB10637_007272	CIB10637_007272-T1	protein_coding	0	3	3	29	0	0	0	0	0	0	0	14	0	0	1	3	0	0	0	0	0	0	0	0	3	14
AFG3	CIB10637_000930	CIB10637_000930-T1	protein_coding	0	2	1	23	1	0	0	0	0	0	0	10	0	0	0	1	0	0	0	1	0	0	0	0	1	12
AGC1	CIB10637_004027	CIB10637_004027-T1	protein_coding	0	3	2	38	5	0	1	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	3	16
AGE2	CIB10637_001435	CIB10637_001435-T1	protein_coding	0	10	10	130	7	0	3	0	0	0	0	27	0	0	5	10	0	0	0	1	0	0	0	0	10	88
AGP2	CIB10637_003609	CIB10637_003609-T1	protein_coding	0	4	0	31	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	4	20
AHA1	CIB10637_001166	CIB10637_001166-T1	protein_coding	0	0	0	55	2	0	5	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	27
AHA1	CIB10637_001166	CIB10637_001166-T2	protein_coding	0	0	0	55	2	0	4	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	27
AHA1	CIB10637_001166	CIB10637_001166-T3	protein_coding	0	0	0	53	2	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	30
AHP1	CIB10637_006206	CIB10637_006206-T1	protein_coding	0	0	0	50	0	0	0	0	0	0	0	21	0	0	6	0	0	0	0	0	0	0	0	0	0	23
AIM18	CIB10637_003183	CIB10637_003183-T1	protein_coding	0	4	9	47	0	0	0	1	0	0	0	29	0	0	0	8	0	0	0	0	0	0	0	0	4	18
AIM24	CIB10637_001004	CIB10637_001004-T1	protein_coding	0	3	3	37	0	0	0	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	3	20
AIM6_1	CIB10637_002285	CIB10637_002285-T1	protein_coding	0	0	1	42	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	30
AIM6_2	CIB10637_005502	CIB10637_005502-T1	protein_coding	0	0	1	26	0	0	0	0	0	0	0	20	0	0	1	1	0	0	0	0	0	0	0	0	0	5
AIM9_1	CIB10637_000546	CIB10637_000546-T1	protein_coding	0	1	1	30	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	19
AIM9_2	CIB10637_000547	CIB10637_000547-T1	protein_coding	0	1	2	27	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	1	19
AIM9_3	CIB10637_005539	CIB10637_005539-T1	protein_coding	5	7	8	58	0	0	0	0	0	0	0	22	2	0	3	8	0	0	0	1	0	3	0	0	7	33
AIM9_4	CIB10637_006644	CIB10637_006644-T1	protein_coding	0	0	3	80	0	0	0	0	0	0	0	31	0	0	2	3	0	0	0	0	0	0	0	0	0	47
AIM9_5	CIB10637_006771	CIB10637_006771-T1	protein_coding	0	12	12	374	5	0	1	0	0	0	0	223	0	0	0	12	0	0	0	0	0	0	0	0	12	145
AIM9_6	CIB10637_007589	CIB10637_007589-T1	protein_coding	0	5	5	147	1	1	10	0	0	0	0	31	0	0	0	5	0	0	0	0	0	0	0	0	4	105
AIP1	CIB10637_001695	CIB10637_001695-T1	protein_coding	0	2	0	45	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	2	17
AKL1	CIB10637_003308	CIB10637_003308-T1	protein_coding	0	2	2	26	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	2	15
AKR1	CIB10637_001734	CIB10637_001734-T1	protein_coding	0	0	1	50	10	0	0	0	0	0	0	16	0	0	2	1	0	0	0	0	0	0	0	0	0	22
AKR1	CIB10637_001734	CIB10637_001734-T2	protein_coding	0	0	0	51	10	0	1	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	22
AKR1	CIB10637_001734	CIB10637_001734-T3	protein_coding	1	0	1	49	10	0	0	0	0	0	0	16	0	0	1	1	0	0	0	0	0	1	0	0	0	22
ALA1	CIB10637_000524	CIB10637_000524-T1	protein_coding	0	1	3	28	0	0	0	0	0	0	0	15	0	0	1	3	0	0	0	0	0	0	0	0	1	12
ALD2	CIB10637_007519	CIB10637_007519-T1	protein_coding	0	0	1	21	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	10
ALD5	CIB10637_006456	CIB10637_006456-T1	protein_coding	0	9	1	239	12	0	20	0	0	0	0	81	0	0	24	1	0	0	0	8	0	0	0	0	1	103
ALD6	CIB10637_002020	CIB10637_002020-T1	protein_coding	0	3	1	49	3	0	2	0	0	0	0	27	0	0	1	1	0	0	0	0	0	0	0	0	3	16
ALG1	CIB10637_000047	CIB10637_000047-T1	protein_coding	0	9	8	98	1	0	2	0	0	0	0	29	0	0	3	8	0	0	0	1	0	0	0	0	8	64
ALG1	CIB10637_000047	CIB10637_000047-T2	protein_coding	0	7	6	103	1	1	8	0	0	0	0	29	0	0	2	6	0	0	0	1	0	0	0	0	5	64
ALG10	CIB10637_006927	CIB10637_006927-T1	protein_coding	0	0	2	44	4	0	2	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	18
ALG11	CIB10637_003450	CIB10637_003450-T1	protein_coding	0	1	0	27	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	1	14
ALG13	CIB10637_002075	CIB10637_002075-T1	protein_coding	0	1	2	30	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	1	16
ALG14	CIB10637_003460	CIB10637_003460-T1	protein_coding	0	1	3	39	0	0	0	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	1	21
ALG2	CIB10637_006404	CIB10637_006404-T1	protein_coding	0	2	3	33	0	0	0	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	2	10
ALG3	CIB10637_008182	CIB10637_008182-T1	protein_coding	0	0	2	40	0	0	0	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	0	16
ALG5	CIB10637_006104	CIB10637_006104-T1	protein_coding	0	0	1	42	1	0	0	0	0	0	0	20	0	0	1	1	0	0	0	0	0	0	0	0	0	20
ALG6	CIB10637_000478	CIB10637_000478-T1	protein_coding	0	3	3	55	0	0	0	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	3	28
ALG6	CIB10637_000478	CIB10637_000478-T2	protein_coding	0	2	2	57	0	0	2	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	2	28
ALG7	CIB10637_007130	CIB10637_007130-T1	protein_coding	0	1	1	28	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	17
ALG7	CIB10637_007130	CIB10637_007130-T2	protein_coding	0	1	1	28	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	17
ALG8	CIB10637_008402	CIB10637_008402-T1	protein_coding	0	0	2	67	3	0	0	0	0	0	0	41	0	0	9	2	0	0	0	0	0	0	0	0	0	14
ALG9	CIB10637_002904	CIB10637_002904-T1	protein_coding	0	1	2	28	0	0	0	0	0	0	0	11	0	0	1	2	0	0	0	0	0	0	0	0	1	16
ALI1	CIB10637_001341	CIB10637_001341-T1	protein_coding	0	0	0	90	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ALO1	CIB10637_002820	CIB10637_002820-T1	protein_coding	0	0	2	35	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	0	18
ALP1	CIB10637_002369	CIB10637_002369-T1	protein_coding	0	4	0	41	0	0	0	0	0	0	0	19	0	0	3	0	0	0	0	0	0	0	0	0	4	19
ALT1	CIB10637_001425	CIB10637_001425-T1	protein_coding	0	1	0	44	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	25
AMD1	CIB10637_000516	CIB10637_000516-T1	protein_coding	0	3	1	25	0	0	0	0	0	0	0	12	0	0	1	1	0	0	0	0	0	0	0	0	3	12
AMO1	CIB10637_005974	CIB10637_005974-T1	protein_coding	0	3	2	26	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	3	15
AMO2	CIB10637_002379	CIB10637_002379-T1	protein_coding	0	1	1	40	0	0	1	0	0	0	0	19	0	0	3	1	0	0	0	0	0	0	0	0	1	17
AMS1	CIB10637_006609	CIB10637_006609-T1	protein_coding	0	7	0	122	1	1	17	0	0	0	0	43	0	0	11	0	0	0	0	2	0	0	0	0	4	52
AMT1	CIB10637_005214	CIB10637_005214-T1	protein_coding	0	1	2	25	2	1	7	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	7
ANB1	CIB10637_004287	CIB10637_004287-T1	protein_coding	0	2	0	41	1	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0	2	18
ANP1	CIB10637_002303	CIB10637_002303-T1	protein_coding	0	0	2	60	0	0	0	0	0	0	0	31	0	0	1	2	0	0	0	0	0	0	0	0	0	28
ANT1	CIB10637_004124	CIB10637_004124-T1	protein_coding	0	0	1	18	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	8
AOS1	CIB10637_006096	CIB10637_006096-T1	protein_coding	0	0	5	41	0	0	0	0	0	0	0	19	0	0	2	5	0	0	0	0	0	0	0	0	0	20
AOX2	CIB10637_001626	CIB10637_001626-T1	protein_coding	0	1	0	52	3	0	1	0	0	0	0	24	0	0	1	0	0	0	0	1	0	0	0	0	0	24
APA2	CIB10637_000640	CIB10637_000640-T1	protein_coding	0	0	5	48	0	0	0	0	0	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	36
APC1	CIB10637_002113	CIB10637_002113-T1	protein_coding	0	5	7	42	0	0	0	0	0	0	0	18	0	0	0	7	0	0	0	0	0	0	0	0	5	24
APE2	CIB10637_007142	CIB10637_007142-T1	protein_coding	0	11	3	134	4	2	4	0	0	0	0	53	0	0	1	3	0	0	0	0	0	0	0	0	9	72
APE2	CIB10637_007142	CIB10637_007142-T2	protein_coding	0	11	3	134	4	2	4	0	0	0	0	53	0	0	1	3	0	0	0	0	0	0	0	0	9	72
APE2	CIB10637_007142	CIB10637_007142-T3	protein_coding	0	10	1	138	4	3	9	0	0	0	0	53	0	0	0	1	0	0	0	0	0	0	0	0	7	72
APL2	CIB10637_006696	CIB10637_006696-T1	protein_coding	0	1	2	22	1	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	1	10
APL2	CIB10637_006696	CIB10637_006696-T2	protein_coding	0	0	1	24	3	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	10
APL2	CIB10637_006696	CIB10637_006696-T3	protein_coding	0	1	2	22	1	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	1	10
APL4	CIB10637_003290	CIB10637_003290-T1	protein_coding	0	0	2	106	0	0	0	0	0	0	0	93	0	0	2	2	0	0	0	0	0	0	0	0	0	11
APL5	CIB10637_006486	CIB10637_006486-T1	protein_coding	0	3	3	27	0	0	0	0	0	0	0	19	0	0	1	3	0	0	0	1	0	0	0	0	2	8
APL6_1	CIB10637_008108	CIB10637_008108-T1	protein_coding	0	1	3	37	0	0	0	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	1	13
APL6_2	CIB10637_008109	CIB10637_008109-T1	protein_coding	0	2	2	28	0	0	0	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	2	8
APM4	CIB10637_005919	CIB10637_005919-T1	protein_coding	0	1	1	46	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	1	31
APN1	CIB10637_001536	CIB10637_001536-T1	protein_coding	1	4	6	80	0	0	0	0	0	0	0	26	0	0	1	6	0	0	0	0	1	0	0	0	4	53
APN2	CIB10637_002216	CIB10637_002216-T1	protein_coding	0	0	0	111	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	79
APR1	CIB10637_003167	CIB10637_003167-T1	protein_coding	0	0	1	29	3	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	11
APS2	CIB10637_002889	CIB10637_002889-T1	protein_coding	0	1	0	20	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	11
APS3	CIB10637_001040	CIB10637_001040-T1	protein_coding	2	1	1	29	3	0	0	0	0	0	0	21	0	0	1	1	0	1	0	0	0	1	0	0	1	5
APT1	CIB10637_006737	CIB10637_006737-T1	protein_coding	0	2	1	57	0	0	0	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	2	24
AQY1	CIB10637_005563	CIB10637_005563-T1	protein_coding	0	0	1	38	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	23
ARB1	CIB10637_005984	CIB10637_005984-T1	protein_coding	0	3	0	59	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	3	29
ARC18	CIB10637_005702	CIB10637_005702-T1	protein_coding	0	1	0	36	0	0	1	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	1	21
ARC19	CIB10637_006190	CIB10637_006190-T1	protein_coding	1	1	0	65	4	1	2	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	36
ARC1_1	CIB10637_002301	CIB10637_002301-T1	protein_coding	0	2	1	54	0	0	0	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	2	33
ARC1_2	CIB10637_002302	CIB10637_002302-T1	protein_coding	0	0	3	54	0	0	0	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	0	30
ARC35	CIB10637_004058	CIB10637_004058-T1	protein_coding	0	1	0	52	0	0	0	0	0	0	0	27	0	0	1	0	0	0	0	1	0	0	0	0	1	24
ARD1	CIB10637_005056	CIB10637_005056-T1	protein_coding	0	1	0	91	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	1	43
ARE2	CIB10637_003291	CIB10637_003291-T1	protein_coding	0	0	0	35	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ARE2	CIB10637_003291	CIB10637_003291-T2	protein_coding	0	0	0	35	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ARE2	CIB10637_003291	CIB10637_003291-T3	protein_coding	0	0	0	35	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ARE2	CIB10637_003291	CIB10637_003291-T4	protein_coding	0	0	0	35	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ARF1	CIB10637_005159	CIB10637_005159-T1	protein_coding	0	1	0	41	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	0	1	14
ARF6	CIB10637_002530	CIB10637_002530-T1	protein_coding	0	0	0	29	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ARG1	CIB10637_002928	CIB10637_002928-T1	protein_coding	0	1	2	43	2	0	2	0	0	0	0	9	0	0	3	2	0	0	0	0	0	0	0	0	1	27
ARG2	CIB10637_007100	CIB10637_007100-T1	protein_coding	0	1	5	40	0	0	3	0	0	0	0	22	0	0	2	5	0	0	0	0	0	0	0	0	1	13
ARG3	CIB10637_003497	CIB10637_003497-T1	protein_coding	0	2	0	34	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	16
ARG6	CIB10637_007722	CIB10637_007722-T1	protein_coding	0	3	3	72	2	0	1	0	0	0	0	36	0	0	0	3	0	0	0	0	0	0	0	0	3	33
ARG8	CIB10637_004447	CIB10637_004447-T1	protein_coding	0	2	2	155	0	0	0	0	0	0	0	11	0	0	1	2	0	0	0	0	0	0	0	0	2	143
ARG81	CIB10637_000111	CIB10637_000111-T1	protein_coding	0	1	2	71	0	0	0	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	1	47
ARH1	CIB10637_004431	CIB10637_004431-T1	protein_coding	0	3	4	69	1	0	0	0	0	0	0	44	0	0	0	4	0	0	0	0	0	0	0	0	3	24
ARL1	CIB10637_003699	CIB10637_003699-T1	protein_coding	0	3	0	28	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	0	0	2	8
ARL3	CIB10637_002556	CIB10637_002556-T1	protein_coding	0	0	1	72	2	0	5	0	0	0	0	25	0	0	9	1	0	0	0	0	0	0	0	0	0	31
ARO1	CIB10637_002914	CIB10637_002914-T1	protein_coding	0	2	3	23	0	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	2	12
ARO2	CIB10637_003456	CIB10637_003456-T1	protein_coding	0	0	2	42	0	0	1	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	19
ARO3	CIB10637_007645	CIB10637_007645-T1	protein_coding	0	3	0	36	4	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	0	0	3	18
ARO4	CIB10637_003751	CIB10637_003751-T1	protein_coding	0	1	1	55	5	0	0	0	0	0	0	16	0	0	1	1	0	0	0	0	0	0	0	0	1	33
ARO7	CIB10637_006410	CIB10637_006410-T1	protein_coding	1	0	0	36	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	23
ARO80_1	CIB10637_006459	CIB10637_006459-T1	protein_coding	0	2	2	94	2	0	0	0	0	0	0	58	0	0	1	2	0	0	0	0	0	0	0	0	2	33
ARO80_1	CIB10637_006459	CIB10637_006459-T2	protein_coding	0	3	1	96	2	2	2	0	0	0	0	58	0	0	1	1	0	0	0	0	0	0	0	0	1	33
ARO80_3	CIB10637_008340	CIB10637_008340-T1	protein_coding	0	3	3	79	1	1	17	0	0	0	0	33	0	0	6	3	0	0	0	0	0	0	0	0	2	22
ARO80_3	CIB10637_008340	CIB10637_008340-T2	protein_coding	0	3	3	79	1	1	18	0	0	0	0	33	0	0	5	3	0	0	0	0	0	0	0	0	2	22
ARO80_3	CIB10637_008340	CIB10637_008340-T3	protein_coding	0	2	3	80	2	1	17	0	0	0	0	33	0	0	6	3	0	0	0	0	0	0	0	0	1	22
ARO80_3	CIB10637_008340	CIB10637_008340-T4	protein_coding	0	2	3	80	2	1	18	0	0	0	0	33	0	0	5	3	0	0	0	0	0	0	0	0	1	22
ARO8_1	CIB10637_003954	CIB10637_003954-T1	protein_coding	0	1	0	28	2	0	0	0	0	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	1	9
ARO8_2	CIB10637_007154	CIB10637_007154-T1	protein_coding	0	2	1	41	1	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	2	24
ARP1	CIB10637_002074	CIB10637_002074-T1	protein_coding	0	1	0	38	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	19
ARP2	CIB10637_006160	CIB10637_006160-T1	protein_coding	0	2	1	60	0	0	0	0	0	0	0	20	0	0	4	1	0	0	0	0	0	0	0	0	2	36
ARP3	CIB10637_008129	CIB10637_008129-T1	protein_coding	0	0	0	44	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ARP4	CIB10637_001703	CIB10637_001703-T1	protein_coding	0	2	0	132	7	0	1	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	2	11
ARP5	CIB10637_007542	CIB10637_007542-T1	protein_coding	0	2	2	73	0	0	0	0	0	0	0	54	0	0	0	2	0	0	0	0	0	0	0	0	2	19
ARP6	CIB10637_007340	CIB10637_007340-T1	protein_coding	0	0	2	31	0	0	0	0	0	0	0	12	0	0	3	2	0	0	0	0	0	0	0	0	0	16
